ticker,trigger,comment
GLOB, close > 314, IT services hot area
DEO, close > 202, good funda
ACRE, close> 16.04, earnings soon
CNP, close > 27.02, earnings soon
BOX, close > 26.76, earnings
GS, close > 417, financial
VOYA, close > 70, earnings
WSM, close > 192, home furnishings
ROK, close > 321, infra
DOV, close > 172, industrial products
ACRE, close > 16, earnings
AFG, close > 139, american financial
TIPT, close > 16.5, earnings
PGNY, close > 64.3, earnings
VEEV, close > 321, strong funda
USB, close > 63, banking strong group
